date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
5/31/20,nicodaguyyo,rapdogmon,0,0,0,And that is why we need education reform,,,,1.27E+18,https://twitter.com/nicodaguyyo/status/1267242673733328896
5/31/20,LauGreatest,fatbellybella,1,0,5,"EDUCATION REFORM IS ABSOLUTELY NECESSARY FOR ANY PERMANENT CHANGE The Western world has developed a culture that is anti-education, anti-intellectual, anti-fact, and anti-causality. The emphasis right now is on credentials and power-not education ",,,,1.27E+18,https://twitter.com/LauGreatest/status/1267242304869404673
5/31/20,TaiLorMa6e,fatbellybella,0,0,0,Liberation of our minds and our babies minds. We need to fight for education reform. Curriculum reform. ,,,,1.27E+18,https://twitter.com/TaiLorMa6e/status/1267241203470393347
5/31/20,BRogBMW,,1,0,0,"2/ - UBI - reduce stress of 'pay my rent' and 'what to eat' - Reduced tax burden for POC - not in perpetuity, not sure how long - Extreme education reform - all schools to a higher standard, high paid teachers, facility/tech upgrades - Online voting - too hard to vote now",,,,1.27E+18,https://twitter.com/BRogBMW/status/1267235167682170880
5/31/20,KateNas26841402,,0,0,0,"I know we are all in “this” together, but this is a group I never expected to have to be a part of to survive! No offense, but can’t wait till we get thru “this” & we can debate simple things, like: Tan suits Press Briefings Climate change Education reform Rebuilding US https://twitter.com/pscorndog/status/1267225008671260677",,,,1.27E+18,https://twitter.com/KateNas26841402/status/1267230474822275072
5/31/20,jraijriowajrao,mikemajlak,0,0,0,Education reform,,,,1.27E+18,https://twitter.com/jraijriowajrao/status/1267229306494881795
5/31/20,Ontogeny100,marla_kilfoyle,0,0,0,"Wow, didn't you read Diane's latest rhetorical recycling effort to announce the successful slaying of Goliath, which was once known as corporate education reform? What happened?",,,,1.27E+18,https://twitter.com/Ontogeny100/status/1267228576027480064
5/31/20,TiffyLoca,,0,0,1,"We need to be demanding for so much right now: fair rent act, Police Reform, jail reform, free education, education reform, abolishing of standardized tests, re-election of a democratic candidate, free access to mental health care, equal access to healthy foods!! #humanrights",,,#humanrights,1.27E+18,https://twitter.com/TiffyLoca/status/1267224534798589952
5/31/20,DrHowieKnoff,,0,0,0,Educators: Plan NOW for students? social-emotional post-pandemic return to school. New Blog provides activity checklists to prepare staff to address all students? multi-tiered re-entry needs. #education #educationreform #educationpolicy #principalsschool https://conta.cc/3cfuLtW,,,#education #educationreform #educationpolicy #principalsschool,1.27E+18,https://twitter.com/DrHowieKnoff/status/1267220742711775233
5/31/20,SBMcCallister,abe_gin,1,0,0,China will soon control the global economy with their negative list of their new China Foreign Investment Law. Better learn what they forbid now. So you don’t end up in a education reform camp: all free will &amp; religious practices. PetroYuan Gold Effect. ,,,,1.27E+18,https://twitter.com/SBMcCallister/status/1267220456869900289
